ticker,symbol,future,expiry,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 10:30:00,1760697000,579060.0,581980.0,575940.0,579860.0,16488,20,99229
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 11:00:00,1760698800,579840.0,581480.0,574360.0,574980.0,11223,20,71389
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 11:30:00,1760700600,575080.0,577100.0,572220.0,574260.0,11983,20,73455
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 12:00:00,1760702400,574400.0,579720.0,573840.0,578940.0,7619,20,53284
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 12:30:00,1760704200,579040.0,582200.0,576460.0,581720.0,6286,20,42092
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 13:00:00,1760706000,581760.0,585900.0,580840.0,581200.0,9471,20,71680
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 13:30:00,1760707800,581180.0,581900.0,578360.0,579360.0,6448,20,36081
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 14:00:00,1760709600,579360.0,581300.0,577920.0,578540.0,6190,20,39633
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 14:30:00,1760711400,578520.0,580460.0,577640.0,579720.0,5556,20,37295
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 15:00:00,1760713200,579820.0,581920.0,579800.0,581520.0,5628,20,37544
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 15:30:00,1760715000,581380.0,582480.0,579020.0,579920.0,4580,20,32166
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 16:00:00,1760716800,580040.0,581480.0,579400.0,579880.0,3822,20,27734
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 16:30:00,1760718600,579840.0,580220.0,577900.0,579220.0,4943,20,31352
BIT,BITV25,V25,2025-11-01,M30,2025-10-17 17:00:00,1760720400,579240.0,582720.0,578480.0,582220.0,3351,20,20654
